"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 03 11:13:40 UTC 2026","Wed Jun 03 11:13:41 UTC 2026","608","","br.com.serverest.tests.CarrinhosTest","","br.com.serverest.tests.CarrinhosTest","concluirCompra","Concluir compra deve retornar 200 e excluir o carrinho","DELETE /carrinhos/concluir-compra deve finalizar a compra e retornar status 200"
"passed","Wed Jun 03 11:14:07 UTC 2026","Wed Jun 03 11:14:07 UTC 2026","117","","br.com.serverest.tests.UsuariosTest","","br.com.serverest.tests.UsuariosTest","cadastrarUsuarioEmailInvalido","cadastrarUsuarioEmailInvalido(String, String) Email inválido (sem domínio) deve retornar 400",""
"passed","Wed Jun 03 11:14:06 UTC 2026","Wed Jun 03 11:14:06 UTC 2026","117","","br.com.serverest.tests.LoginTest","","br.com.serverest.tests.LoginTest","loginComEmailInexistente","Login com email inexistente deve retornar 401","POST /login com email não cadastrado deve retornar status 401"
"passed","Wed Jun 03 11:14:06 UTC 2026","Wed Jun 03 11:14:06 UTC 2026","128","","br.com.serverest.tests.UsuariosTest","","br.com.serverest.tests.UsuariosTest","cadastrarUsuarioComCampoAusente","cadastrarUsuarioComCampoAusente(String, String, String, String, String) Cadastrar com email ausente deve retornar 400",""
"passed","Wed Jun 03 11:14:06 UTC 2026","Wed Jun 03 11:14:06 UTC 2026","132","","br.com.serverest.tests.UsuariosTest","","br.com.serverest.tests.UsuariosTest","cadastrarUsuarioComCampoAusente","cadastrarUsuarioComCampoAusente(String, String, String, String, String) Cadastrar com nome ausente deve retornar 400",""
"passed","Wed Jun 03 11:14:06 UTC 2026","Wed Jun 03 11:14:06 UTC 2026","185","","br.com.serverest.tests.CarrinhosTest","","br.com.serverest.tests.CarrinhosTest","criarCarrinhoSemToken","Criar carrinho sem token deve retornar 401",""
"passed","Wed Jun 03 11:14:06 UTC 2026","Wed Jun 03 11:14:06 UTC 2026","279","","br.com.serverest.tests.UsuariosTest","","br.com.serverest.tests.UsuariosTest","excluirUsuario","Excluir usuário existente deve retornar 200",""
"passed","Wed Jun 03 11:13:41 UTC 2026","Wed Jun 03 11:13:42 UTC 2026","440","","br.com.serverest.tests.CarrinhosTest","","br.com.serverest.tests.CarrinhosTest","criarCarrinho","Criar carrinho com produto válido deve retornar 201","POST /carrinhos com produto e token válidos deve criar o carrinho e retornar status 201"
"passed","Wed Jun 03 11:14:07 UTC 2026","Wed Jun 03 11:14:07 UTC 2026","110","","br.com.serverest.tests.ProdutosTest","","br.com.serverest.tests.ProdutosTest","cadastrarProdutoSemToken","Cadastrar produto sem token deve retornar 401",""
"passed","Wed Jun 03 11:14:07 UTC 2026","Wed Jun 03 11:14:07 UTC 2026","270","","br.com.serverest.tests.UsuariosTest","","br.com.serverest.tests.UsuariosTest","atualizarUsuario","Atualizar usuário existente deve retornar 200",""
"passed","Wed Jun 03 11:14:07 UTC 2026","Wed Jun 03 11:14:07 UTC 2026","270","","br.com.serverest.tests.ProdutosTest","","br.com.serverest.tests.ProdutosTest","atualizarProduto","Atualizar produto existente deve retornar 200",""
"passed","Wed Jun 03 11:14:03 UTC 2026","Wed Jun 03 11:14:06 UTC 2026","2221","","br.com.serverest.tests.UsuariosTest","","br.com.serverest.tests.UsuariosTest","excluirUsuarioInexistente","Excluir usuário inexistente deve retornar 200 sem registro",""
"passed","Wed Jun 03 11:14:06 UTC 2026","Wed Jun 03 11:14:06 UTC 2026","113","","br.com.serverest.tests.LoginTest","","br.com.serverest.tests.LoginTest","loginComSenhaIncorreta","Login com senha incorreta deve retornar 401","POST /login com senha errada deve retornar status 401"
"passed","Wed Jun 03 11:14:07 UTC 2026","Wed Jun 03 11:14:07 UTC 2026","111","","br.com.serverest.tests.UsuariosTest","","br.com.serverest.tests.UsuariosTest","cadastrarUsuarioComCampoAusente","cadastrarUsuarioComCampoAusente(String, String, String, String, String) Cadastrar com administrador ausente deve retornar 400",""
"passed","Wed Jun 03 11:13:40 UTC 2026","Wed Jun 03 11:13:40 UTC 2026","173","","br.com.serverest.tests.UsuariosTest","","br.com.serverest.tests.UsuariosTest","cadastrarUsuarioAdmin","Cadastrar usuário administrador deve retornar 201 e contrato válido",""
"passed","Wed Jun 03 11:14:07 UTC 2026","Wed Jun 03 11:14:07 UTC 2026","83","","br.com.serverest.tests.UsuariosTest","","br.com.serverest.tests.UsuariosTest","cadastrarUsuarioEmailInvalido","cadastrarUsuarioEmailInvalido(String, String) Email inválido (sem @) deve retornar 400",""
"passed","Wed Jun 03 11:13:40 UTC 2026","Wed Jun 03 11:13:40 UTC 2026","208","","br.com.serverest.tests.CarrinhosTest","","br.com.serverest.tests.CarrinhosTest","listarCarrinhos","Listar carrinhos deve retornar status 200",""
